Abadiano (Los Bajos) , Michoacán. Clave Lada 353
Ciudad del Carmen , Camp. Clave Lada 938
Ciudad del Maiz , San Luis Potosí. Clave Lada 482
Ciudad Delicias , Chihuahua. Clave Lada 639
Ciudad Fernandez , San Luis Potosí. Clave Lada 487
Ciudad General Escobedo , Nuevo León. Clave Lada 81
Ciudad Guzman , Jalisco. Clave Lada 341
Ciudad Hidalgo , Chiapas. Clave Lada 962
Ciudad Hidalgo , Michoacán. Clave Lada 786
Ciudad Jerez de Garcia Salinas , Zacatecas. Clave Lada 494
Ciudad Jimenez , Chihuahua. Clave Lada 629
Ciudad Juarez , Chihuahua. Clave Lada 656
Ciudad Lazaro Cardenas , Michoacán. Clave Lada 753
Ciudad Lerdo , Durango. Clave Lada 871
Ciudad Lopez Mateos , Estado de México. Clave Lada 55
Ciudad Madera , Chihuahua. Clave Lada 652
Ciudad Madero , Tamaulipas. Clave Lada 833
Ciudad Mante , Tamaulipas. Clave Lada 831
Ciudad Manuel Doblado , Guanajuato. Clave Lada 432
Ciudad Mendoza , Veracrúz. Clave Lada 272
Ciudad Mier , Tamaulipas. Clave Lada 897
Ciudad Miguel Aleman , Tamaulipas. Clave Lada 897
Ciudad Morelos (Cuervos) , Baja California. Clave Lada 658
Ciudad Nezahualcoyotl , Estado de México. Clave Lada 55
Ciudad Obregon , Sonora. Clave Lada 644
Ciudad Sahagun , Hidalgo. Clave Lada 791
Ciudad Santa Catarina , Nuevo León. Clave Lada 81
Ciudad Satelite del Norte , Nuevo León. Clave Lada 81
Ciudad Serdan , Puebla. Clave Lada 245
Ciudad Valles , San Luis Potosí. Clave Lada 481
Ciudad Victoria , Tamaulipas. Clave Lada 834
Club de Golf Santa Anita , Jalisco. Clave Lada 33
Coacoatzintla , Veracrúz. Clave Lada 228
Coacoyul , Guerrero. Clave Lada 755
Coacoyula de Alvarez , Guerrero. Clave Lada 733
Coacuilco , Hidalgo. Clave Lada 483
Coahuayana de Hidalgo , Michoacán. Clave Lada 313
Coahuayana Viejo , Michoacán. Clave Lada 313
Coahuixtla , Morelos. Clave Lada 751
Coajomulco , Morelos. Clave Lada 739
Coalcoman , Michoacán. Clave Lada 424
Coamiles , Nayarit. Clave Lada 319
Coapilla , Chiapas. Clave Lada 919
Coatecas Altas , Oaxaca. Clave Lada 951
Coatepec Harinas , Estado de México. Clave Lada 723
Coatepec , Estado de México. Clave Lada 55
Coatepec , Veracrúz. Clave Lada 228
Coatetelco , Morelos. Clave Lada 737
Coatlan del Rio , Morelos. Clave Lada 751
Coatzacoalcos , Veracrúz. Clave Lada 921
Coatzingo , Puebla. Clave Lada 243
Coatzintla , Veracrúz. Clave Lada 782
Cocotitlan , Estado de México. Clave Lada 55
Cocoyoc , Morelos. Clave Lada 735
Cocula , Guerrero. Clave Lada 736
Cocula , Jalisco. Clave Lada 377
Cochisquila , Estado de México. Clave Lada 723
Cochoapa , Guerrero. Clave Lada 741
Coecillo , Zacatecas. Clave Lada 458
Coeneo de la Libertad , Michoacán. Clave Lada 454
Cofradia de Cuyutlan , Nayarit. Clave Lada 319
Cofradia de Suchitlan , Colima. Clave Lada 312
Cofradia , Jalisco. Clave Lada 372
Cohuibampo , Sinaloa. Clave Lada 668
Coicoyan de las Flores , Oaxaca. Clave Lada 953
Cojumatlan , Michoacán. Clave Lada 381
Col. Agr. De Ocotepec (Col. San , Puebla. Clave Lada 244
Colatlan , Veracrúz. Clave Lada 746
Colesio , Michoacán. Clave Lada 328
Colima , Colima. Clave Lada 312
Colipa , Veracrúz. Clave Lada 279
Colombia , Nuevo León. Clave Lada 867
Colon , Querétaro. Clave Lada 419
Colonia Clave Lada 18 de Marzo , Guanajuato. Clave Lada 411
Colonia Clave Lada 18 de Marzo , Nayarit. Clave Lada 319
Colonia Clave Lada 20 de Noviembre , Hidalgo. Clave Lada 791
Colonia Clave Lada 28 de Mayo (Santa Rosa) , Hidalgo. Clave Lada 775
Colonia Agricola Alvaro Obregon , Estado de México. Clave Lada 722
Colonia Agricola Independencia , Sinaloa. Clave Lada 697
Colonia Agricola Mexico (Plamitas) , Sinaloa. Clave Lada 697
Colonia Alvaro Obregon (Rubio) , Chihuahua. Clave Lada 625
Colonia Alvaro Obregon , San Luis Potosí. Clave Lada 482
Colonia Anahuac , Chihuahua. Clave Lada 625
Colonia Benito Garcia (El Zorrillo) , Baja California. Clave Lada 646
Colonia Bravo , Colima. Clave Lada 313
Colonia Campesina , Chihuahua. Clave Lada 639
Colonia Dr. Gustavo Baz , Estado de México. Clave Lada 726
Colonia El Meco , San Luis Potosí. Clave Lada 482
Colonia El Mirador , Estado de México. Clave Lada 55
Colonia El Renacimiento , Veracrúz. Clave Lada 229
Colonia El Tajo , Sonora. Clave Lada 634
Colonia El Valle , Chihuahua. Clave Lada 636
Colonia Felipe Angeles , Chihuahua. Clave Lada 639
Colonia Gonzalez Ortega , Zacatecas. Clave Lada 433
Colonia Guadalupana , Jalisco. Clave Lada 33
Colonia Hidalgo , Durango. Clave Lada 618
Colonia Jecopaco , Sonora. Clave Lada 643
Colonia Juarez , Chihuahua. Clave Lada 636
Colonia La Puerta , Baja California. Clave Lada 686
Colonia Las Malvinas (Colonia A , Michoacán. Clave Lada 355
Colonia Le Baron , Chihuahua. Clave Lada 636
Colonia Macario J. Gomez , Aguascalientes. Clave Lada 465
Colonia Madero (Madero) , Zacatecas. Clave Lada 496
Colonia Madero , Chihuahua. Clave Lada 636
Colonia Manuel Gonzalez , Veracrúz. Clave Lada 273
Colonia Moderna (Moderna) , Nayarit. Clave Lada 327
Colonia Morelos , Guanajuato. Clave Lada 469
Colonia Morelos , Hidalgo. Clave Lada 738
Colonia Nuevo Morelos , Veracrúz. Clave Lada 924
Colonia Piloto , Veracrúz. Clave Lada 846
Colonia Revolucion , Chihuahua. Clave Lada 639
Colonia Santa Barbara , Veracrúz. Clave Lada 228
Colonia Soconusco , Chiapas. Clave Lada 918
Colonia Vicente Guerrero , Baja California. Clave Lada 616
Colonia Yucatan , Yucatán. Clave Lada 986
Colorines , Estado de México. Clave Lada 726
Colotepec , Guerrero. Clave Lada 745
Colotlan , Jalisco. Clave Lada 499
Colotlipa , Guerrero. Clave Lada 756
Colucan (San Lucas Colucan) , Puebla. Clave Lada 243
Collantes , Oaxaca. Clave Lada 954
Comachuen , Michoacán. Clave Lada 423
Comala , Colima. Clave Lada 312
Comalcalco , Tabasco. Clave Lada 933
Comalteco , Veracrúz. Clave Lada 784
Comaltepec (Comal) , Guerrero. Clave Lada 741
Comanja , Michoacán. Clave Lada 454
Comanjilla , Guanajuato. Clave Lada 472
Comitan de Dominguez , Chiapas. Clave Lada 963
Comoapan , Veracrúz. Clave Lada 294
Comonfort , Guanajuato. Clave Lada 412
Compostela , Nayarit. Clave Lada 327
Comunidad El Rocio , Aguascalientes. Clave Lada 449
Conca , Querétaro. Clave Lada 487
Concepcion de Buenos Aires , Jalisco. Clave Lada 372
Concepcion del Oro , Zacatecas. Clave Lada 842
Concordia , Sinaloa. Clave Lada 694
Condembaro , Michoacán. Clave Lada 425
Condiro , Jalisco. Clave Lada 393
Conduacan , Tabasco. Clave Lada 914
Coneto de Comonfort , Durango. Clave Lada 677
Congregacion Caballeros , Tamaulipas. Clave Lada 834
Congregacion Calles , Nuevo León. Clave Lada 826
Congregacion de la Cruz (La Cue , Guanajuato. Clave Lada 413
Conkal , Yucatán. Clave Lada 999
Contepec , Michoacán. Clave Lada 447
Copainala , Chiapas. Clave Lada 968
Copala , Guerrero. Clave Lada 741
Copales , Guanajuato. Clave Lada 456
Copalillo , Guerrero. Clave Lada 727
Copanatoyac , Guerrero. Clave Lada 757
Copandaro Rancho Nuevo , Michoacán. Clave Lada 454
Copandaro , Michoacán. Clave Lada 454
Copoya , Chiapas. Clave Lada 961
Coquimatlan , Colima. Clave Lada 312
Corazon de Maria , Chiapas. Clave Lada 967
Cordoba , Veracrúz. Clave Lada 271
Corerepe (El Gallo) , Sinaloa. Clave Lada 687
Coronel Gregorio Mendez Magana , Tabasco. Clave Lada 937
Coroneo , Guanajuato. Clave Lada 421
Corozal , Veracrúz. Clave Lada 789
Corral Nuevo , Veracrúz. Clave Lada 294
Corralejo de Arriba , Guanajuato. Clave Lada 415
Corralejo de Hidalgo , Guanajuato. Clave Lada 469
Corralero , Oaxaca. Clave Lada 954
Cortazar , Guanajuato. Clave Lada 411
Corte Primero , San Luis Potosí. Clave Lada 444
Corupo , Michoacán. Clave Lada 452
Cosala , Sinaloa. Clave Lada 696
Cosamaloapan , Veracrúz. Clave Lada 288
Cosautlan de Carvajal , Veracrúz. Clave Lada 279
Coscomatepec , Veracrúz. Clave Lada 273
Cosio , Aguascalientes. Clave Lada 458
Cosoleacaque , Veracrúz. Clave Lada 922
Costa Azul , Sinaloa. Clave Lada 697
Costa Rica , Sinaloa. Clave Lada 667
Cotaxtla , Veracrúz. Clave Lada 278
Cotija de la Paz , Michoacán. Clave Lada 394
Covadonga , Guanajuato. Clave Lada 468
Coxcatlan , San Luis Potosí. Clave Lada 489
Coxquihui , Veracrúz. Clave Lada 784
Coyame , Chihuahua. Clave Lada 626
Coyoacan , CDMX (Ciudad de México). Clave Lada 55
Coyolillo , Veracrúz. Clave Lada 279
Coyotepec , Estado de México. Clave Lada 593
Coyotitan , Sinaloa. Clave Lada 696
Coyuca de Benitez , Guerrero. Clave Lada 781
Coyuca de Catalan , Guerrero. Clave Lada 767
Coyula , Jalisco. Clave Lada 33
Coyuquilla Norte , Guerrero. Clave Lada 742
Coyutla , Veracrúz. Clave Lada 784
Cozumel , Quintana Roo. Clave Lada 987
Creel , Chihuahua. Clave Lada 635
Cristo Rey , Sinaloa. Clave Lada 695
Cristobal Hidalgo , Veracrúz. Clave Lada 279
Cristobal Obregon , Chiapas. Clave Lada 965
Crucero San Luis de la Paz , Guanajuato. Clave Lada 468
Cruces de Rojas , Guanajuato. Clave Lada 469
Cruillas , Tamaulipas. Clave Lada 841
Cruz Azul San Miguel Vindho , Hidalgo. Clave Lada 773
Cruz de Juanacaxtle , Nayarit. Clave Lada 329
Cruz del Milagro , Veracrúz. Clave Lada 924
Cruz Grande , Guerrero. Clave Lada 745
Cruz Quemada , Guerrero. Clave Lada 745
Cruz Verde , Veracrúz. Clave Lada 272
Cuahuchichinola , Morelos. Clave Lada 751
Cuajimalpa de Morelos , CDMX (Ciudad de México). Clave Lada 55
Cuajimoloyas (San Antonio Cuaji , Oaxaca. Clave Lada 951
Cuajinicuilapa , Guerrero. Clave Lada 741
Cualac , Guerrero. Clave Lada 757
Cuamio , Michoacán. Clave Lada 455
Cuanacastitlan , Guerrero. Clave Lada 741
Cuanajo , Michoacán. Clave Lada 434
Cuaracurio , Michoacán. Clave Lada 455
Cuatotolapan Estacion , Veracrúz. Clave Lada 294
Cuatrocienegas , Coahuila. Clave Lada 869
Cuauhtemoc , Colima. Clave Lada 312
Cuauhtemoc , Chiapas. Clave Lada 965
Cuauhtemoc , CDMX (Ciudad de México). Clave Lada 55
Cuauhtemoc , Durango. Clave Lada 676
Cuauhtemoc , Puebla. Clave Lada 282
Cuauhtemoc , Tabasco. Clave Lada 913
Cuautepec de Hinojosa , Hidalgo. Clave Lada 775
Cuautepec , Hidalgo. Clave Lada 745
Cuautitlan Izcalli , Estado de México. Clave Lada 55
Cuautitlan , Jalisco. Clave Lada 357
Cuautitlan , Estado de México. Clave Lada 55
Cuautla , Jalisco. Clave Lada 316
Cuautla , Morelos. Clave Lada 735
Cuautlapan , Veracrúz. Clave Lada 271
Cubilete , Sinaloa. Clave Lada 687
Cubiri de Portelas , Sinaloa. Clave Lada 687
Cucuyalapa Clave Lada 1ra. Seccion , Tabasco. Clave Lada 914
Cuchicuato , Guanajuato. Clave Lada 462
Cuencame de Ceniceros , Durango. Clave Lada 671
Cuentepec , Morelos. Clave Lada 777
Cueramaro , Guanajuato. Clave Lada 429
Cuernavaca , Morelos. Clave Lada 777
Cuesta Colorada , Hidalgo. Clave Lada 441
Cuetzala del Progreso , Guerrero. Clave Lada 736
Cuetzalan , Puebla. Clave Lada 233
Cuevas de Morales , Guanajuato. Clave Lada 352
Cuicatlan , Oaxaca. Clave Lada 236
Cuichapa (Mpio. Moloacan) , Veracrúz. Clave Lada 923
Cuisillos , Jalisco. Clave Lada 384
Cuitlahuac , Veracrúz. Clave Lada 278
Cuitzeo del Porvenir , Michoacán. Clave Lada 455
Culiacan , Sinaloa. Clave Lada 667
Culiacancito , Sinaloa. Clave Lada 667
Cumpas , Sonora. Clave Lada 634
Cumuatillo , Michoacán. Clave Lada 353
Cupareo , Guanajuato. Clave Lada 466
Cuquio , Jalisco. Clave Lada 373
Curimeo , Michoacán. Clave Lada 454
Cuto de la Esperanza , Michoacán. Clave Lada 443
Cuto del Porvenir , Michoacán. Clave Lada 443
Cutzamala de Pinzon , Guerrero. Clave Lada 732
Cuxpala , Zacatecas. Clave Lada 467
Cuyacapan , Jalisco. Clave Lada 372
Cuyoaco , Puebla. Clave Lada 276
Cuyutlan , Colima. Clave Lada 313
Chable , Tabasco. Clave Lada 934
Chacahua , Oaxaca. Clave Lada 954
Chacala , Nayarit. Clave Lada 327
Chacalapa , Veracrúz. Clave Lada 922
Chacaltianguis , Veracrúz. Clave Lada 288
Chahuapan , Veracrúz. Clave Lada 279
Chahuites , Oaxaca. Clave Lada 994
Chalcatongo de Hidalgo , Oaxaca. Clave Lada 953
Chalcatzingo , Morelos. Clave Lada 731
Chalco , Estado de México. Clave Lada 55
Chalchihuites , Zacatecas. Clave Lada 457
Chalma , Estado de México. Clave Lada 714
Chalma , Veracrúz. Clave Lada 789
Chamacuaro , Guanajuato. Clave Lada 417
Chametla , Baja California Sur. Clave Lada 612
Chametla , Sinaloa. Clave Lada 694
Champoton , Camp. Clave Lada 982
Chamula , Chiapas. Clave Lada 967
Changata , Guerrero. Clave Lada 732
Changuitiro , Michoacán. Clave Lada 328
Chapa de Mota , Estado de México. Clave Lada 588
Chapab , Yucatán. Clave Lada 997
Chapala , Jalisco. Clave Lada 376
Chapalilla , Nayarit. Clave Lada 327
Chapantongo , Hidalgo. Clave Lada 763
Chaparrosa , Zacatecas. Clave Lada 458
Chapopote Chico (Tlachinolapa) , Veracrúz. Clave Lada 789
Chapulhuacan , Hidalgo. Clave Lada 483
Chapulhuacanito , San Luis Potosí. Clave Lada 483
Charapan , Michoacán. Clave Lada 423
Charay , Sinaloa. Clave Lada 698
Charcas , San Luis Potosí. Clave Lada 486
Charco Blanco , Querétaro. Clave Lada 442
Charco Blanco , Zacatecas. Clave Lada 433
Charco de Pantoja , Guanajuato. Clave Lada 462
Charo , Michoacán. Clave Lada 451
Chaucingo , Guerrero. Clave Lada 727
Chavarrillo , Veracrúz. Clave Lada 279
Chavinda , Michoacán. Clave Lada 383
Chemax , Yucatán. Clave Lada 985
Chemuyil , Quintana Roo. Clave Lada 984
Chenalho , Chiapas. Clave Lada 919
Cheran Atzicuirin (Cheranastico) , Michoacán. Clave Lada 423
Cheran , Michoacán. Clave Lada 423
Chetumal , Quintana Roo. Clave Lada 983
Chiapa de Corzo , Chiapas. Clave Lada 961
Chiapa , Colima. Clave Lada 312
Chiapilla , Chiapas. Clave Lada 992
Chiautempan , Tlaxcala. Clave Lada 246
Chiautla de Tapia , Puebla. Clave Lada 275
Chicapa de Castro , Oaxaca. Clave Lada 971
Chicavasco , Hidalgo. Clave Lada 772
Chicoasen , Chiapas. Clave Lada 961
Chicomuselo , Chiapas. Clave Lada 963
Chiconcuac de Juarez , Estado de México. Clave Lada 595
Chiconquiaco , Veracrúz. Clave Lada 279
Chicontepec , Veracrúz. Clave Lada 746
Chicuasen , Veracrúz. Clave Lada 279
Chicxulub Pueblo , Yucatán. Clave Lada 999
Chichicapa , Tabasco. Clave Lada 933
Chichicaxtle , Veracrúz. Clave Lada 296
Chichihualco , Guerrero. Clave Lada 747
Chichimequillas , Guanajuato. Clave Lada 472
Chichimequillas , Querétaro. Clave Lada 442
Chichimila , Yucatán. Clave Lada 985
Chietla , Puebla. Clave Lada 243
Chigmecatitlan , Puebla. Clave Lada 224
Chignahuapan , Puebla. Clave Lada 797
Chignautla , Puebla. Clave Lada 231
Chihuahua , Baja California. Clave Lada 686
Chihuahua , Chihuahua. Clave Lada 614
Chihuahuita , Sinaloa. Clave Lada 668
Chijol Clave Lada 17 , Veracrúz. Clave Lada 846
Chila de la Sal , Puebla. Clave Lada 275
Chila de las Flores , Puebla. Clave Lada 953
Chilacachapa , Guerrero. Clave Lada 736
Chilapa , Guerrero. Clave Lada 756
Chilapa , Nayarit. Clave Lada 319
Chilcuautla , Hidalgo. Clave Lada 738
Chilchota , Michoacán. Clave Lada 355
Chilon , Chiapas. Clave Lada 919
Chilpancingo , Guerrero. Clave Lada 747
Chiltepec (Puerto Chiltepec) , Tabasco. Clave Lada 933
Chiltepec de Hidalgo , Estado de México. Clave Lada 723
Chiltoyac , Veracrúz. Clave Lada 228
Chimalhuacan , Estado de México. Clave Lada 55
Chimalpa y Tlalayote , Hidalgo. Clave Lada 748
Chimaltitan , Jalisco. Clave Lada 437
China , Camp. Clave Lada 981
China , Nuevo León. Clave Lada 823
Chinameca , Morelos. Clave Lada 735
Chinameca , Veracrúz. Clave Lada 922
Chinantla , Puebla. Clave Lada 275
Chinotahueca , Sonora. Clave Lada 642
Chinpas de Almada , Chihuahua. Clave Lada 635
Chipilo de Francisco Javier Mina (Chipilo) , Puebla. Clave Lada 222
Chiquihuitero (San Isidro) , Aguascalientes. Clave Lada 495
Chiquilistlan , Jalisco. Clave Lada 385
Chocaman , Veracrúz. Clave Lada 273
Chochola , Yucatán. Clave Lada 988
Choix , Sinaloa. Clave Lada 698
Cholul , Yucatán. Clave Lada 999
Cholula de Rivadabia , Puebla. Clave Lada 222
Chontla , Veracrúz. Clave Lada 785
Chosto de los Jarros , Estado de México. Clave Lada 712
Chucandiro , Michoacán. Clave Lada 443
Chunhuhub , Quintana Roo. Clave Lada 983
Chupaderos , Zacatecas. Clave Lada 458
Chupicuaro (Nuevo Chupicuaro) , Guanajuato. Clave Lada 417
Chupicuaro , Michoacán. Clave Lada 455
Chupio , Michoacán. Clave Lada 459
Churintzio , Michoacán. Clave Lada 328
Churumuco de Morelos , Michoacán. Clave Lada 425
Dajiedhi , Hidalgo. Clave Lada 772
Damian Carmona , San Luis Potosí. Clave Lada 482
Dautillos , Sinaloa. Clave Lada 672
Degollado , Jalisco. Clave Lada 345
Dehesa , Veracrúz. Clave Lada 924
Delta (Estacion Delta) , Baja California. Clave Lada 686
Dextho de Victoria , Hidalgo. Clave Lada 738
Diamante de Echeverria , Chiapas. Clave Lada 992
Dieciocho de Marzo , Jalisco. Clave Lada 474
Dieciocho de Marzo , Michoacán. Clave Lada 426
Diez de Octubre (San Lucas de Ocampo) , Durango. Clave Lada 677
Dimas (Estacion Dimas) , Sinaloa. Clave Lada 696
Division del Norte , Camp. Clave Lada 982
Division del Norte , Tamaulipas. Clave Lada 831
Doctor Arroyo , Nuevo León. Clave Lada 488
Doctor Coss , Nuevo León. Clave Lada 823
Doctor Domingo Chanona , Chiapas. Clave Lada 965
Doctor Gonzalez , Nuevo León. Clave Lada 825
Doctor Porfirio Parra (La Caseta) , Chihuahua. Clave Lada 656
Dolores Cuadrilla de Enmedio , Querétaro. Clave Lada 427
Dolores Hidalgo , Guanajuato. Clave Lada 418
Dolores , Guanajuato. Clave Lada 476
Don Martin , Coahuila. Clave Lada 861
Don Samuel , Camp. Clave Lada 982
Donato Guerra , Durango. Clave Lada 677
Dongu , Estado de México. Clave Lada 588
Dos Arroyos , Guerrero. Clave Lada 744
Dos Arroyos , Veracrúz. Clave Lada 279
Dos Rios (Tocuila) , Veracrúz. Clave Lada 272
Dos Rios , Veracrúz. Clave Lada 228
Dr. Mora , Guanajuato. Clave Lada 419
Duarte , Guanajuato. Clave Lada 477
Dulce Grande , San Luis Potosí. Clave Lada 458
Dulces Nombres , Nuevo León. Clave Lada 825
Durango , Baja California. Clave Lada 686
Durango , Durango. Clave Lada 618
Dzan , Yucatán. Clave Lada 997
Dzemul , Yucatán. Clave Lada 991
Dzibalchen , Camp. Clave Lada 996
Dzidzantun , Yucatán. Clave Lada 991
Dzilam de Bravo , Yucatán. Clave Lada 991
Dzilam Gonzalez , Yucatán. Clave Lada 991
Dzitas , Yucatán. Clave Lada 985
Dzitbalche , Camp. Clave Lada 996
Dziuche , Quintana Roo. Clave Lada 997
Dzoncauich , Yucatán. Clave Lada 991
Dzonot Carretero , Yucatán. Clave Lada 986
Ebano , San Luis Potosí. Clave Lada 845
Ecatepec de Morelos , Estado de México. Clave Lada 55
Ecuandureo , Michoacán. Clave Lada 328
Ejido Clave Lada 31 de Octubre , Sonora. Clave Lada 643
Ejido Alcholoya , Hidalgo. Clave Lada 774
Ejido B.Juarez (Mpio.Namiquipa) , Chihuahua. Clave Lada 659
Ejido Constitucion , Chihuahua. Clave Lada 636
Ejido Cuauhtemoc (Campo Cinco) , Sonora. Clave Lada 644
Ejido Chiapas Clave Lada 1 , Baja California. Clave Lada 658
Ejido Distrito Federal , Baja California. Clave Lada 658
Ejido Dr. Alberto Oviedo Mota (El Indiviso) , Baja California. Clave Lada 658
Ejido El Largo , Chihuahua. Clave Lada 652
Ejido El Quemadito , Sinaloa. Clave Lada 667
Ejido Francisco Javier Mina (Campo Clave Lada 60) , Sonora. Clave Lada 643
Ejido General Leandro Valle , Baja California. Clave Lada 616
Ejido Guadalajara , Baja California. Clave Lada 658
Ejido Guanajuato , Baja California. Clave Lada 686
Ejido Jose Maria Morelos , Baja California. Clave Lada 616
Ejido La Victoria , Sonora. Clave Lada 662
Ejido Lagunitas , Sonora. Clave Lada 653
Ejido Lazaro Cardenas , Baja California. Clave Lada 658
Ejido Monterrey (Colonia Bataquez) , Baja California. Clave Lada 658
Ejido Nueva Colonia Hindu , Baja California. Clave Lada 665
Ejido Nuevo , Guerrero. Clave Lada 744
Ejido Ojo de Agua , Baja California. Clave Lada 664
Ejido Queretaro , Baja California. Clave Lada 658
Ejido Quintana Roo , Baja California. Clave Lada 658
Ejido Revolucion (Las Viboras) , Durango. Clave Lada 629
Ejido Sanson Flores , Baja California. Clave Lada 686
Ejido Sinaloa , Baja California. Clave Lada 686
Ejido Yucatan , Baja California. Clave Lada 658
Ejutla de Crespo , Oaxaca. Clave Lada 951
Ejutla , Jalisco. Clave Lada 343
El Abra , Tamaulipas. Clave Lada 831
El Agostadero (San Jose Agostadero) , Estado de México. Clave Lada 718
El Ahuaje , Michoacán. Clave Lada 424
El Alberto , Hidalgo. Clave Lada 759
El Algodonal , Michoacán. Clave Lada 352
El Arenal (San Jeronimo) , Durango. Clave Lada 618
El Arenal , Hidalgo. Clave Lada 772
El Arenal , Jalisco. Clave Lada 374
El Azucar , Tamaulipas. Clave Lada 832
El Barranquito , Nuevo León. Clave Lada 828
El Barretal , Tamaulipas. Clave Lada 835
El Barrial (Rancho de los Benavides) , Nuevo León. Clave Lada 81
El Barril , San Luis Potosí. Clave Lada 458
El Barrio de la Soledad , Oaxaca. Clave Lada 972
El Barrio , Michoacán. Clave Lada 394
El Bismarck , Chihuahua. Clave Lada 636
El Blanco , Querétaro. Clave Lada 419
El Bolillo , Sinaloa. Clave Lada 696
El Bordo Buenavista , Zacatecas. Clave Lada 492
El Botadero , Nayarit. Clave Lada 323
El Burrion , Sinaloa. Clave Lada 687
El Cabezon , Jalisco. Clave Lada 375
El Camaron , Oaxaca. Clave Lada 995
El Cambio , Coahuila. Clave Lada 871
El Capomo , Nayarit. Clave Lada 327
El Capulin , Guanajuato. Clave Lada 419
El Capulin , Michoacán. Clave Lada 328
El Capulin , San Luis Potosí. Clave Lada 487
